"Codigo_Municipio";"Municipio";"0201 Coleta de material";"0209 Diagnostico por endoscopia";"0211 Metodos diagnosticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"Total"
"320180";"DIVINO DE SAO LOURENCO";0;0;0;2;30;0;0;1;3;0;0;0;1;0;1;3;7;0;0;4;0;0;0;3;0;0;0;0;0;0;55
"320190";"DOMINGOS MARTINS";0;0;0;28;218;27;11;25;28;7;0;9;3;3;15;31;34;24;0;71;5;0;0;19;23;0;0;0;0;0;581
"320200";"DORES DO RIO PRETO";0;0;0;1;47;3;3;2;0;0;0;0;1;0;1;7;14;1;0;11;2;0;0;2;1;0;0;0;0;0;96
"320210";"ECOPORANGA";0;0;0;16;184;8;13;4;16;1;0;3;3;2;6;20;50;21;0;30;1;0;0;13;6;0;0;0;1;0;398
"320220";"FUNDAO";0;0;0;3;84;8;2;1;21;2;0;4;0;4;21;25;28;9;1;27;3;0;0;17;6;0;0;0;1;0;267
"320225";"GOVERNADOR LINDENBERG";0;2;0;15;32;5;0;0;10;3;0;2;2;0;11;8;16;4;0;13;1;0;0;6;5;0;0;0;0;0;135
"320230";"GUACUI";0;0;0;15;303;10;23;17;35;2;0;2;6;1;15;31;61;9;0;31;4;2;1;24;5;0;0;0;0;0;597
"320240";"GUARAPARI";1;0;0;21;710;94;36;26;144;5;1;14;10;1;55;99;147;34;2;344;9;3;0;61;45;0;0;0;2;1;1865
"320245";"IBATIBA";0;0;0;9;266;12;16;6;39;3;0;2;2;2;19;12;21;8;0;46;1;0;0;12;8;0;0;0;0;0;484
"320250";"IBIRACU";0;0;0;2;34;6;2;4;16;1;0;0;1;1;9;2;12;4;0;10;2;0;0;7;3;0;0;0;0;0;116
"320255";"IBITIRAMA";0;0;0;4;42;9;0;11;11;0;0;0;4;0;2;9;7;3;0;8;1;0;1;24;0;0;0;0;0;0;136
"320260";"ICONHA";1;0;0;5;73;9;2;5;7;0;0;1;2;1;8;10;5;7;0;11;1;1;1;20;3;0;0;0;0;0;173
"320265";"IRUPI";0;0;0;5;68;11;4;5;16;0;0;2;3;0;2;12;8;1;0;9;1;1;0;10;3;0;0;0;0;0;161
"320270";"ITAGUACU";1;0;0;6;46;5;5;1;12;2;0;1;1;2;17;22;27;7;0;13;1;2;0;20;2;0;0;0;0;0;193
"320280";"ITAPEMIRIM";1;0;0;9;271;39;18;28;43;6;0;1;12;3;16;69;40;41;1;78;4;1;1;50;9;0;0;0;0;0;741
"320290";"ITARANA";0;0;0;4;55;8;2;4;8;1;0;0;3;1;13;7;32;10;0;9;1;1;0;6;2;0;0;0;0;0;167
"320300";"IUNA";2;0;0;4;243;4;15;24;12;3;0;2;7;1;6;18;27;8;2;15;4;0;0;40;1;0;4;0;0;0;442
"320305";"JAGUARE";1;0;0;12;168;14;5;8;41;1;0;2;5;0;15;22;34;8;0;40;3;4;0;23;13;0;0;0;2;0;421
"320310";"JERONIMO MONTEIRO";0;0;0;11;126;4;6;10;6;2;0;1;7;0;9;16;23;7;0;10;4;3;0;34;1;0;0;0;0;0;280
