"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"420519";"ERMO";0;0;0;1,0;4,7;10,0;4,5;3,0;3,0;0;0;1,0;0;0;0;2,2;1,2;0,5;0;2,0;0;0;0;0;0;0;0;0;0;0;3,2
"420520";"ERVAL VELHO";0;0;1,0;5,0;8,6;3,3;5,3;8,7;1,7;0;2,0;0;15,0;1,0;7,0;2,4;0,8;1,0;0;2,2;10,5;0;0;8,8;6,0;0;0;0;0;0;6,5
"420530";"FAXINAL DOS GUEDES";2,0;1,0;0;1,3;5,3;2,4;2,6;2,0;1,5;0;0;2,0;1,0;2,8;6,2;2,8;2,3;0,9;0;1,5;9,9;0;0;2,9;2,5;0;0;0;0;0;3,7
"420535";"FLOR DO SERTAO";0;0;0;0,7;6,2;3,0;0;0;2,0;0;0;0;0;0;0;3,7;3,5;1,0;0;0,8;0;0;0;7,6;0;0;0;0;0;0;4,5
"420540";"FLORIANOPOLIS";3,8;10,7;1,0;4,7;9,8;7,9;5,7;5,2;2,6;0,7;2,3;10,2;5,3;0,7;7,7;5,9;3,1;1,8;1,4;3,1;13,7;2,2;2,0;6,3;5,3;0;0,0;0;11,5;14,3;6,3
"420543";"FORMOSA DO SUL";0;0;0;1,0;11,3;2,6;2,0;1,0;1,5;0;0;0;0;0;2,5;1,7;3,4;0,7;0;2,8;0;0;0;5,3;0;0;0;0;0;0;4,7
"420545";"FORQUILHINHA";0;0;0;1,0;6,0;3,7;3,4;13,9;2,1;0;0;1,0;1,4;24,0;3,5;1,8;1,9;1,1;0;2,2;11,5;0;0;3,7;0,8;0;0;0;0;0;3,7
"420550";"FRAIBURGO";1,0;0;1,0;2,0;7,0;4,1;3,5;2,6;1,8;0;0;1,1;1,8;0,8;5,3;4,4;3,3;1,7;0;2,1;7,5;0;1,5;7,6;2,6;0;0;0;22,3;0;4,7
"420555";"FREI ROGERIO";0;0;0;0;4,0;0;1,0;0;2,3;2,0;0;1,0;3,0;0;1,0;1,0;1,5;2,7;0;2,0;0;0;0;2,8;0;0;0;0;0;0;2,6
"420560";"GALVAO";0;0;0;1,0;4,6;7,0;1,5;2,5;1,0;0;0;0;0;0;2,0;0;1,3;1,0;0;1,0;0;0;0;2,5;0;0;0;0;0;0;3,6
"420570";"GAROPABA";0,5;0;1,0;2,3;8,2;9,4;2,0;4,3;2,2;3,0;0;3,3;1,8;0,3;7,4;4,0;4,5;1,3;0;2,4;12,0;0;0;7,9;0;0;0;0;35,0;24,0;6,1
"420580";"GARUVA";27,5;0;0;0,8;8,5;4,7;5,5;10,3;2,5;9,4;0;1,0;5,0;0;8,4;3,4;1,5;5,7;0;2,5;0;2,5;0;5,0;6,0;0;0;0;0;0;5,6
"420590";"GASPAR";0;0;1,0;2,0;6,4;3,8;5,3;3,0;1,7;0,4;1,0;2,5;1,7;1,0;4,7;2,2;1,4;1,0;0;2,3;4,2;1,0;0;4,2;1,5;0;0;0;6,8;12,1;3,6
"420600";"GOVERNADOR CELSO RAMOS";0;0;1,0;1,0;11,6;6,4;11,5;8,0;3,1;0;0;1,0;9,5;0,4;5,8;2,8;6,3;1,6;1,0;2,5;7,8;2,8;0;4,3;9,7;0;0;0;5,0;0;6,3
"420610";"GRAO PARA";0;12,0;0;1,0;8,1;4,1;4,0;0;1,6;0;0;13,0;0;0;1,2;1,4;4,5;2,3;0;2,0;4,0;0;0;6,6;3,0;0;0;0;0;0;5,0
"420620";"GRAVATAL";0;0;0;0,5;7,3;6,4;3,3;2,0;1,7;0;0;5,1;0;0;8,1;2,6;1,9;0;4,0;1,8;4,0;1,0;0;5,6;1,3;0;0;0;0;0;5,3
"420630";"GUABIRUBA";0;0;0;1,3;6,0;5,1;7,2;2,0;2,1;1,1;0;8,3;1,0;0;3,4;2,3;2,6;1,7;1,0;2,7;0;1,0;0;4,5;0,9;0;0,5;0;0;8,0;3,9
"420640";"GUARACIABA";0;0;0;0,6;6,1;6,2;1,8;8,5;3,0;0;0;0;0;0;6,8;2,0;1,9;1,3;0;2,0;1,0;0;0;3,8;1,3;0;0;0;0;0;4,5
"420650";"GUARAMIRIM";0;2,9;0;1,6;6,3;7,7;4,6;4,6;2,2;0,4;0;1,0;0;0;2,4;1,4;2,2;1,0;0;2,2;9,2;0;0;3,1;1,8;0;0,6;0;10,0;4,0;3,8
"420660";"GUARUJA DO SUL";0;0;0;1,0;3,5;2,1;2,4;1,0;2,0;0;0;0;1,0;0;3,3;1,6;2,3;1,0;0;1,0;0;0;0;3,8;0,5;0;0;0;0;0;3,0
"420665";"GUATAMBU";0;2,0;0;4,5;7,3;6,0;3,0;3,0;1,3;0;0;0;0;0;1,8;2,5;1,3;0;0;1,8;19,3;0;0;2,9;0,3;0;0;0;0;0;4,6
"420670";"HERVAL D'OESTE";0;0;0;1,8;6,8;4,1;3,2;10,4;1,5;0;0;3,3;0;0;3,3;3,6;1,4;1,5;0;2,8;22,0;8,0;0;5,3;2,8;0;1,0;0;8,0;0;4,6
"420675";"IBIAM";0;0;0;0;5,9;8,5;0;2,5;1,0;0;0;0;0;0;0;1,7;1,0;0;0;2,0;9,0;0;0;3,8;0;0;0;0;0;0;4,3
